"area_code","地域","A2101_住民基本台帳人口（日本人）","A210101_住民基本台帳人口（日本人）（男）","A210102_住民基本台帳人口（日本人）（女）","A2201_住民基本台帳人口（外国人）","A2301_住民基本台帳人口（総数）","A4101_出生数","A4200_死亡数","A5101_転入者数（日本人移動者）","A5102_転出者数（日本人移動者）","A5103_転入者数","A5104_転出者数","A7103_住民基本台帳世帯数（日本人）","A9101_婚姻件数","A9201_離婚件数","B1101_総面積（北方地域及び竹島を除く）","B1102_総面積（北方地域及び竹島を含む）","B1103_可住地面積","B1104_主要湖沼面積","B1105_林野面積","B1106_森林面積","B1107_森林以外の草生地面積","B1201_評価総地積（課税対象土地）","B120103_評価総地積（宅地）","C120110_課税対象所得","C120120_納税義務者数（所得割）","C120130_納税義務者数（均等割）","C2109_事業所数（国・地方公共団体）（経済センサス‐基礎調査結果）","C310201_農家数（販売農家）","C310202_農家数（自給的農家）","C3107_耕地面積","C3401_製造品出荷額等","C3403_製造業事業所数","C3404_製造業従業者数","D1202_一般行政部門職員数（市区町村）","D2201_財政力指数（市町村財政）","D2202_実質収支比率（市町村財政）","D2203_経常収支比率（市町村財政）","D2205_基準財政収入額（市町村財政）","D2206_基準財政需要額（市町村財政）","D2209_一般財源（市町村財政）","D2210_投資的経費（市町村財政）","D2211_実質公債費比率（市町村財政）","D2212_将来負担比率（市町村財政）","D2213_標準財政規模（市町村財政）","D2214_実質赤字比率（市町村財政）","D2215_連結実質赤字比率（市町村財政）","D3201_歳入決算総額（市町村財政）","D320101_地方税（市町村財政）","D320102_地方譲与税（市町村財政）","D320103_利子割交付金（市町村財政）","D320104_ゴルフ場利用税交付金（市町村財政）","D320105_特別地方消費税交付金（市町村財政）","D320106_自動車取得税交付金（市町村財政）","D320107_軽油引取税交付金（市町村財政）","D320108_地方交付税（市町村財政）","D320109_交通安全対策特別交付金（市町村財政）","D320110_分担金及び負担金（市町村財政）","D320111_使用料（市町村財政）","D320113_国庫支出金（市町村財政）","D320115_県支出金（市町村財政）","D320116_財産収入（市町村財政）","D320117_寄附金（市町村財政）","D320118_繰入金（市町村財政）","D320119_繰越金（市町村財政）","D320120_諸収入（市町村財政）","D320121_地方債（市町村財政）","D320122_地方特例交付金（市町村財政）","D3202_自主財源額（市町村財政）","D3203_歳出決算総額（市町村財政）","D320301_議会費（市町村財政）","D320302_総務費（市町村財政）","D320303_民生費（市町村財政）","D3203031_社会福祉費（市町村財政）","D3203032_老人福祉費（市町村財政）","D3203033_児童福祉費（市町村財政）","D3203034_生活保護費（市町村財政）","D3203035_災害救助費（市町村財政）","D320304_衛生費（市町村財政）","D3203042_保健衛生費（市町村財政）","D3203043_保健所費（市町村財政）","D3203044_清掃費（市町村財政）","D320305_労働費（市町村財政）","D3203051_失業対策費（市町村財政）","D320306_農林水産業費（市町村財政）","D320307_商工費（市町村財政）","D320308_土木費（市町村財政）","D3203082_道路橋りょう費（市町村財政）","D3203085_都市計画費（市町村財政）","D3203086_住宅費（市町村財政）","D320309_消防費（市町村財政）","D320310_教育費（市町村財政）","D3203102_小学校費（市町村財政）","D3203103_中学校費（市町村財政）","D3203104_高等学校費（市町村財政）","D3203105_特別支援学校費（市町村財政）","D3203106_幼稚園費（市町村財政）","D3203107_社会教育費（市町村財政）","D3203108_保健体育費（市町村財政）","D320311_災害復旧費（市町村財政）","D320312_公債費（市町村財政）（目的別歳出内訳）","D320401_人件費（市町村財政）","D320402_物件費（市町村財政）","D320403_維持補修費（市町村財政）","D320404_扶助費（市町村財政）","D320405_補助費等（市町村財政）","D320406_普通建設事業費（市町村財政）","D320407_災害復旧事業費（市町村財政）","D320408_失業対策事業費（市町村財政）","D320409_公債費（市町村財政）（性質別歳出内訳）","D320410_積立金（市町村財政）","D320411_投資及び出資金（市町村財政）","D320412_貸付金（市町村財政）","D3205_地方債現在高（市町村財政）","D420102_市町村民税","D420202_固定資産税（市町村税）","E1101_幼稚園数","E1501_幼稚園在園者数","E2101_小学校数","E2401_小学校教員数","E2501_小学校児童数","E3101_中学校数","E3401_中学校教員数","E3501_中学校生徒数","E3901_義務教育学校数","E3902_義務教育学校前期課程学級数","E3903_義務教育学校後期課程学級数","E3904_義務教育学校教員数","E3905_義務教育学校前期課程児童数","E3906_義務教育学校後期課程生徒数","E4101_高等学校数","E4501_高等学校生徒数","F1101_労働力人口","F110101_労働力人口（男）","F110102_労働力人口（女）","F1102_就業者数","F110201_就業者数（男）","F110202_就業者数（女）","F1103_就業者数・主に仕事","F1104_就業者数・家事のほか仕事","F1105_就業者数・通学のかたわら仕事","F1106_就業者数・休業者","F1107_完全失業者数","F110701_完全失業者数（男）","F110702_完全失業者数（女）","F1108_非労働力人口","F110801_非労働力人口（男）","F110802_非労働力人口（女）","F1109_非労働力人口・家事","F1110_非労働力人口・通学","F1111_非労働力人口・その他","F2116_就業者数（65歳以上）","F2201_第1次産業就業者数","F2211_第2次産業就業者数","F2221_第3次産業就業者数","F2401_雇用者数（国勢調査結果）","F2402_役員数","F2403_雇人のある業主数","F2404_雇人のない業主数","F2405_家族従業者数（国勢調査結果）","F2406_自営業主及び家族従業者数","F2409_雇用者数（正規の職員・従業員）","F2410_雇用者数（労働者派遣事業所の派遣社員）","F2411_雇用者数（パート・アルバイト・その他）","F2701_自市区町村で従業している就業者数","F270101_自市区町村で従業している就業者数（男）","F270102_自市区町村で従業している就業者数（女）","F2702_県内他市区町村で従業している就業者数","F270201_県内他市区町村で従業している就業者数（男）","F270202_県内他市区町村で従業している就業者数（女）","F2703_他県で従業している就業者数","F270301_他県で従業している就業者数（男）","F270302_他県で従業している就業者数（女）","F2705_他市区町村への通勤者数","F270501_他市区町村への通勤者数（男）","F270502_他市区町村への通勤者数（女）","F2801_従業地による就業者数","F2802_他県に常住している就業者数","F2803_他市区町村からの通勤者数","G1201_公民館数","G1401_図書館数","H1800_着工新設住宅戸数","H1801_着工新設持家数","H1802_着工新設貸家数","H1803_着工新設分譲住宅数","H1804_着工新設給与住宅数","H1810_着工新設持家・分譲住宅数","H2500_着工居住用建築物床面積","H2600_着工新設住宅床面積","H2601_着工新設持家床面積","H2602_着工新設分譲住宅床面積","H2603_着工新設貸家床面積","H2604_着工新設給与住宅床面積","H5507_総人口（非水洗化人口＋水洗化人口）","H550701_非水洗化人口","H5508_水洗化率（浄化槽人口）","H5509_し尿処理量（し尿＋浄化槽汚泥＋自家処理量）","H5608_ごみ計画収集人口","H5609_ごみ総排出量（総量）","H560901_ごみ総排出量（計画収集量）","H560902_ごみ総排出量（直接搬入量）","H560903_ごみ総排出量（自家処理量）","H560904_ごみ総排出量（集団回収量）","H5610_1人1日当たりの排出量","H5612_ごみ処理量（総量）","H561201_ごみ処理量（直接資源化）","H5613_中間処理後再生利用量","H5614_ごみのリサイクル率","H5615_最終処分量","H7207_軽自動車等台数","H7208_二輪の小型自動車台数","H7209_原動機付自転車台数","H720901_原動機付自転車台数（50ｃｃ以下）","H720902_原動機付自転車台数（50ｃｃ超90ｃｃ以下）","H720903_原動機付自転車台数（90ｃｃ超）","H720904_原動機付自転車台数（ミニカー）","H7210_軽自動車及び小型特殊自動車台数","H721001_二輪車台数（側車付のものを含む）","H721002_三輪車台数","H7701_テレビ放送受信契約数","H770101_衛星放送受信契約数","H8101_都市計画区域指定面積","H8102_市街化調整区域面積","H8103_市街化区域面積","H8104_用途地域面積","H810401_住居専用地域面積","H810402_住居地域面積","H810403_近隣商業地域面積","H810404_商業地域面積","H810405_準工業地域面積","H810406_工業地域面積","H810407_工業専用地域面積","H810408_商業・近隣商業地域面積","H810409_工業・準工業地域面積","I5101_病院数","I510110_精神科病院数","I510120_一般病院数","I510150_療養病床を有する病院数","I5102_一般診療所数","I510201_有床一般診療所数","I5103_歯科診療所数","I5211_病院病床数","I5212_一般診療所病床数","I5511_介護老人保健施設数（基本票）","I5512_介護老人保健施設定員数（基本票）","J2221_保護施設数（基本票）（医療保護施設を除く）","J230127_介護老人福祉施設数（基本票）","J230128_介護老人福祉施設定員数（基本票）","J2304_老人福祉施設数（基本票）","J230411_養護老人ホーム数（基本票）","J230412_養護老人ホーム定員数（基本票）","J230421_有料老人ホーム数（基本票）","J230422_有料老人ホーム定員数（基本票）","J230431_軽費老人ホーム数（基本票）","J230432_軽費老人ホーム定員数（基本票）","J250204_児童福祉施設等数（基本票）","J250302_保育所等数（基本票）","J250303_公営保育所等数（基本票）","J2804_母子・父子福祉施設数（基本票）","J2905_障害者支援施設等数（基本票）","J2906_婦人保護施設数（基本票）","J4101_国民健康保険被保険者数"
"08203","茨城県 土浦市",137753,68976,68777,4277,142030,879,1673,5539,5875,6309,6369,63689,669,258,12289,12289,9863,927,1493,1493,0,86901621,26168037,214909041,67107,71749,146,924,620,3090,625023,143,13995,614,0.8700000000000001,4.8,88.4,19138322,21885961,28087101,5988006,4.8,53.1,29125653,0,0,53759435,23565877,483194,15227,7108,0,69245,0,3785256,22322,430770,731111,7651842,3559563,88801,434649,352388,1896656,1430483,5311514,252774,29754438,51693953,325992,7689166,19818723,5492253,3864516,7926973,2520740,14241,3448476,1325302,0,2109005,70510,0,574375,743427,5109619,2012905,2733970,177573,1805080,6151531,775881,329938,0,0,77754,1081450,2627601,48432,5908622,8403278,7474996,677407,12312146,3191797,5939574,48432,0,5908612,1518944,0,77000,73777156,11265504,9296297,13,1816,16,382,6396,8,259,3630,1,12,6,41,340,189,8,8349,67551,38057,29494,64518,36094,28424,54181,7780,1092,1465,3033,1963,1070,44162,16510,27652,15068,6331,22763,9529,1931,15357,45708,53894,3184,1152,3683,1778,6613,34330,2175,17389,36198,18988,17210,22612,13120,9492,4495,3258,1237,27107,16378,10729,72614,2635,35203,8,5,1226,380,458,370,18,750,106749,103743,44724,37834,20810,375,141926,5723,13.2,9399,141926,55274,49360,3961,0,1953,1064,49699,4522,8304,28.6,6121,48823,2294,5909,4573,365,867,104,40620,1558,2,51688,26654,12299,9005,3294,3294,1579,766,138,151,294,90,276,289,384,8,2,6,2,107,7,85,1849,79,7,578,0,13,788,5,0,0,14,810,2,80,42,26,7,0,5,0,32633
"08204","茨城県 古河市",139108,69899,69209,3884,142992,888,1578,3490,3781,4244,6617,59070,628,232,12358,12358,11474,0,770,770,0,96597477,28935574,199048206,67198,72034,138,1317,859,4870,1197815,354,17849,674,0.75,3.9,91.9,17680428,23381279,28292045,4147097,8.2,67.2,30263512,0,0,51689610,20733511,488207,13664,15190,0,69781,0,6770794,15016,319200,335883,8270930,3912975,68442,326295,1186908,1129096,1177931,3766525,299533,25462108,50371058,287481,5052688,20298342,5964587,3371255,7356572,3603457,2471,3177388,1102164,0,2075224,17328,0,1158722,1067351,4787522,1402657,3040524,55136,2028471,6331158,895114,391729,0,0,0,1375195,1831332,0,6164607,6936490,6847043,493337,13759980,5536352,4147097,0,0,6164607,257067,0,56500,56544180,9170616,8945352,9,1136,23,480,7071,9,262,3422,0,0,0,0,0,0,5,3027,71204,40554,30650,68291,38676,29615,57450,8216,926,1699,2913,1878,1035,40740,14957,25783,14555,5704,20481,10375,2342,24732,38658,55273,3462,1242,4143,2392,7777,35580,2154,17539,41378,21926,19452,8530,5333,3197,15582,9717,5865,24112,15050,9062,62779,10852,18600,7,2,918,387,240,290,1,677,95973,91979,47865,32337,11684,93,143159,8799,41.9,29002,143159,49541,44792,3060,0,1689,946,47852,1702,4455,15.8,3954,57166,2553,6606,5067,471,939,129,48007,1812,1,48048,19602,12358,9436,2922,2922,1219,868,80,59,47,292,357,139,339,8,1,7,3,79,6,66,1662,65,4,370,0,12,680,4,0,0,6,225,2,40,37,31,7,0,5,0,34829
"08205","茨城県 石岡市",73420,36532,36888,1120,74540,418,1037,1869,2069,2081,2360,30222,291,134,21553,21553,12600,221,8727,8726,1,166878319,22921130,97503194,33218,37181,106,1987,1154,6290,252621,132,5275,373,0.62,5.8,92.2,8962549,14566133,18090612,2171392,8.4,37.4,18009365,0,0,30979423,10007139,424649,6495,67925,0,59959,0,7510715,9643,257768,206448,4342759,2093723,14861,154943,692336,1346817,670420,1557000,148109,13403636,29697042,257262,3144983,11474547,2705283,2313472,4611921,1843871,0,3532976,721162,0,2811814,576,0,931019,627997,3313750,1125747,1963238,102896,1288510,2446421,347623,305425,0,0,0,488064,879205,0,2679001,5051080,3838359,301737,7074219,4073028,2171392,0,0,2678996,207756,24164,32796,29323238,4267201,4495572,6,578,19,283,3284,6,145,1813,0,0,0,0,0,0,4,1933,34993,19453,15540,33775,18644,15131,28215,4210,385,965,1218,809,409,21476,8028,13448,6956,2831,11689,6510,2387,9253,20148,25775,1512,677,2894,1599,5170,16470,798,8507,17280,8665,8615,13593,8141,5452,918,667,251,14511,8808,5703,29778,389,10514,15,1,285,186,62,37,0,223,32105,30101,22537,4036,3528,0,74681,5740,39.3,18253,74681,31143,26932,3957,0,254,1139,30923,5049,4184,30.4,839,33741,1268,4093,3233,265,505,90,28380,936,1,24921,12166,19883,4921,1410,1614.6,603,564,24,37,72,148.6,166,61,220.6,9,2,7,5,49,6,41,1286,76,5,460,1,7,414,4,0,0,5,273,4,175,20,17,5,0,8,0,18078
"08207","茨城県 結城市",49357,24686,24671,2438,51795,266,600,1238,1370,1701,1632,18991,201,72,6576,6576,6340,0,279,279,0,53641359,12822095,70576230,24013,26625,44,819,491,3370,233777,159,6948,279,0.73,6.9,92.8,6190900,8292146,9869179,4468811,8.3,42.5,10568618,0,0,20593338,7083371,209115,4655,509,0,29858,0,2461368,4792,160368,115551,2668446,1226966,56904,19001,1261485,932589,352105,2923900,115325,10009908,19813556,181395,5118786,6597159,1643716,1302580,2850799,788015,12049,1020629,454900,0,562151,1390,0,473310,236233,1540014,399977,1037065,53712,709211,2424324,579595,297491,0,0,0,389170,697122,22629,1488476,2712320,2317991,83279,4460803,1919784,4446182,22629,0,1488476,302736,0,15000,16246990,3276605,2909501,3,326,9,201,2681,3,103,1327,0,0,0,0,0,0,3,1195,26268,14922,11346,25129,14165,10964,21283,3041,246,559,1139,757,382,15807,5889,9918,5123,2036,8648,4101,1574,8969,13808,19817,1333,592,1617,1234,3443,12802,922,6093,12061,6415,5646,5732,3558,2174,6632,3804,2828,12364,7362,5002,22289,4241,9524,2,1,218,154,27,37,0,191,26354,24255,18750,4117,1388,0,51864,3166,42.9,8740,51864,21361,20212,1149,0,0,1125,21361,1315,2109,16,1100,21599,972,2170,1683,169,273,45,18457,650,4,16793,8314,6576,5734,842,841.9,350.9,220,24,15,47,0,185,39,47,2,0,2,2,28,4,27,455,41,3,240,0,3,250,2,1,40,3,207,1,50,11,11,3,0,0,0,12868
"08208","茨城県 龍ケ崎市",75103,37442,37661,2119,77222,405,814,2313,2504,2890,2860,32441,301,147,7855,7855,6880,346,657,657,0,58409411,13341734,111752121,35820,39439,92,470,253,2680,312974,108,7422,346,0.76,5.1,94.8,8950991,11685932,13982344,2058790,5.3,NA,15081708,0,0,26136808,10184841,260995,7979,45805,0,37198,0,3403283,9894,248294,294817,3762975,1807370,50180,169358,893941,850030,595855,1952910,133225,13328799,25016359,225340,3930119,9485712,2117632,1769233,4160649,1435832,2366,1908400,834196,0,1069856,22280,0,481224,219801,1710991,574772,756762,22723,1027878,3390126,718572,525646,0,0,0,289699,1099209,498,2613990,4126628,3557708,184808,6620918,3049645,2058292,498,0,2613990,176408,0,20400,22762056,4872400,4060222,4,369,11,243,3689,6,148,1974,0,0,0,0,0,0,4,1754,35649,19968,15681,34124,18946,15178,27979,4573,772,800,1525,1022,503,24784,9669,15115,8634,4143,12007,4990,812,9212,23089,28500,1698,557,2010,802,3369,17468,1149,9883,14771,6976,7795,11654,6696,4958,6804,4766,2038,18458,11462,6996,26753,1396,11087,0,1,335,142,72,118,3,260,36069,33477,16854,12608,3754,261,77240,1418,19.6,12588,77240,27791,26590,1095,0,106,983,27685,2660,2789,20,1294,26648,1208,3427,2608,207,542,70,22013,868,0,26078,12442,7855,6489,1366,1366,768.3,356.3,72.1,11.2,38.1,0,120,83.3,38.1,3,1,2,1,44,4,41,493,52,3,280,0,7,415,1,0,0,5,145,0,0,17,13,1,0,2,0,18101
"08210","茨城県 下妻市",41294,20779,20515,2101,43395,260,479,1026,1288,1437,1723,15617,180,81,8088,8088,7705,0,315,315,0,63104316,14276076,55904560,20024,22377,66,965,530,4100,192367,148,6155,235,0.69,8.7,93.1,5659686,8123440,9791534,2494643,7.8,78.7,10321773,0,0,18619045,6005049,245987,3772,0,0,35112,0,3446392,3896,190898,112644,2309333,1376610,22869,63473,232493,1146233,714477,1767700,94106,8513565,17645904,198696,2027752,5859961,1536456,1328734,2347754,645701,1316,1419666,455179,0,964459,31611,0,787890,134188,1992275,1014767,861341,35311,996679,2436188,466377,591731,0,0,118971,268516,496341,6875,1754123,2383276,2584343,86487,3753922,2341459,2487768,6875,0,1754123,216200,5286,13000,21950304,2724842,2784263,9,368,9,161,2194,3,96,1159,0,0,0,0,0,0,2,1672,22477,12657,9820,21599,12085,9514,18443,2437,182,537,878,572,306,12177,4521,7656,4140,1827,6210,3604,1266,7663,11857,16892,1141,487,1592,987,3066,10823,830,5239,10947,5776,5171,9082,5179,3903,907,718,189,9989,5897,4092,20869,694,9259,3,1,213,131,43,39,0,170,24771,23128,16388,4340,2400,0,43498,5596,66.4,13997,43498,17312,12278,4819,0,215,1087,18147,4213,263,25.5,2164,21346,840,2040,1597,166,222,55,18466,547,0,13414,6033,8088,0,0,567.4,213.6,175,25,13,3.8,38,99,38,41.8,3,0,3,3,26,2,20,236,30,2,200,0,5,226,1,0,0,0,0,0,0,9,7,2,0,0,0,10851
"08211","茨城県 常総市",57770,28900,28870,5276,63046,295,733,1312,1758,2053,2541,21552,210,88,12364,12364,11762,0,589,586,3,93465020,19138182,83077797,28761,32527,85,1424,907,5850,460014,233,13082,393,0.73,4.9,92.5,8670374,11751927,13931592,1975253,10.2,84.8,15146997,0,0,24073305,9417610,324008,5252,36894,0,46625,0,4044529,6602,213195,215229,2917814,1707739,94973,206399,29708,894125,506615,2000168,145445,11622361,23165164,233865,2738019,8135643,2604430,1770493,2938028,813645,9047,1494888,465540,0,1022704,9800,0,887902,202245,2831045,1438424,1241643,75300,1142291,2449972,337206,161787,0,0,191840,294698,916768,48930,2990564,3529134,3169466,335044,4881254,3314258,1926323,48930,0,2990564,7744,0,7000,30986718,4200532,4497547,6,317,14,247,3111,5,132,1692,0,0,0,0,0,0,3,1970,31773,17850,13923,30681,17144,13537,25992,3485,361,843,1092,706,386,17956,6690,11266,5650,2568,9738,5158,1437,11252,16506,24267,1483,576,2100,1194,3870,15187,1556,7524,15858,8390,7468,11389,6478,4911,2067,1463,604,13456,7941,5515,32797,1537,15572,12,1,372,201,110,55,6,256,37636,35680,23428,5606,6392,254,63018,10518,0,21879,63018,19229,16114,2052,0,1063,834,18166,463,1728,16.9,1421,29102,1326,3311,2626,235,388,62,24465,767,0,18901,8346,12352,7444,524,704.2,198.9,319.5,30,29.4,51,0,75.4,59.4,51,4,1,3,2,29,0,27,556,0,2,200,0,8,490,3,0,0,2,81,3,80,17,14,6,0,4,0,15824
"08212","茨城県 常陸太田市",50932,25103,25829,180,51112,209,842,929,1274,989,1295,21254,134,62,37199,37199,12440,0,28322,28080,242,211030024,15398082,64435832,22803,25705,129,1996,1746,4790,39343,95,2073,361,0.41000000000000003,7.6,91.3,5237270,12675896,15601441,4416441,1.9,NA,14693718,0,0,26625580,5410983,344461,4494,74141,0,47425,0,9716853,4661,70030,257605,3240631,1544579,104552,39415,1260332,698794,524900,2079370,129144,8560191,24858493,204778,3079175,7241174,2089583,2091906,2356518,628378,74789,2793348,664147,0,2122697,15491,0,873756,634657,2850006,1325656,1180077,133229,1076755,3550792,1490732,241004,0,0,235016,673391,641057,327190,2211371,4933245,3732530,595596,3471058,2773979,4089251,327190,0,2211363,379694,50300,18254,18419516,2559282,2226738,4,177,12,169,1819,7,123,1087,0,0,0,0,0,0,4,1484,24414,13880,10534,23495,13244,10251,19641,3130,185,539,919,636,283,19108,7188,11920,6594,1890,10624,4660,1806,6215,14868,18460,909,498,2073,1087,3658,11928,552,5980,11128,5397,5731,11445,7225,4220,328,275,53,11773,7500,4273,16634,132,4912,15,1,161,108,16,36,1,144,18552,17334,12393,3937,938,66,51269,3027,56.6,13501,51269,16166,13020,3146,0,0,862,16166,1081,818,11.7,1657,28079,965,2718,2117,225,330,46,24396,765,0,19173,9360,5800,5146,654,653.8,381,116.9,21,10,56.9,22,46,31,78.9,4,0,4,3,20,6,19,365,71,2,200,0,6,491,1,0,0,2,49,1,15,14,11,6,0,1,0,12200
"08214","茨城県 高萩市",28099,13952,14147,213,28312,127,370,630,901,700,912,12541,87,49,19358,19358,3908,0,15012,15012,0,55262017,7136983,35289842,12787,14359,57,266,278,699,122409,47,3251,169,0.61,5.6,97.5,3557467,5813124,6904825,1552023,10.2,67.9,7154721,0,0,13083027,3942047,151173,2440,7582,0,20080,0,2760513,2644,57088,202221,1816023,816215,30147,20921,604683,499001,218629,1237000,51092,5682348,12594115,167410,1591441,4571048,1264380,961442,1770967,573256,1003,961613,409704,0,549135,9600,0,315814,173887,1106025,323769,582451,104971,713010,1325104,276811,182329,0,0,168485,144121,363693,106184,1552979,2456245,1839321,119981,2438188,1019692,1445839,106184,0,1552979,217104,183059,3000,13779538,1555278,1806416,4,139,4,85,1229,3,62,639,0,0,0,0,0,0,2,785,13023,7484,5539,12309,7030,5279,10486,1418,124,281,714,454,260,10778,4284,6494,3517,1200,6061,1999,360,4741,7145,10411,460,275,716,366,1357,6759,476,3176,5996,2991,3005,5883,3731,2152,312,241,71,6195,3972,2223,10904,341,4790,7,1,89,67,2,20,0,87,10051,9776,7489,2175,112,0,28391,2639,10.3,4342,28391,8994,7890,1064,0,40,866,9089,0,1765,19.8,987,11861,407,898,650,89,146,13,10556,333,2,10889,5067,2864,0,0,837,331,237,14,15,44,39,157,29,83,4,1,3,1,18,1,14,612,3,2,140,0,3,138,2,0,0,2,25,1,50,10,5,1,0,3,0,6359
"08215","茨城県 北茨城市",42910,21441,21469,287,43197,221,626,885,1029,956,1051,18804,142,71,18680,18680,5953,0,12869,12868,1,67178141,11349142,54519234,19275,21613,62,648,379,1310,266128,128,7158,212,0.69,6.6,99.6,5496911,8013630,13187495,4297746,9.9,124.9,10106767,0,0,24401312,5950857,194046,3769,7479,0,27008,0,6977901,3308,58927,260510,3066997,1366428,60388,138789,1331237,837163,557403,2522945,64691,9363691,23057580,203749,1841632,6307984,1541350,1604445,2346940,813725,1524,5328315,1513283,0,3815032,0,0,884299,389539,2228592,495167,1494518,163251,912305,3028115,415766,1499879,0,0,130,303272,552560,81759,1851291,2762181,2606346,282536,3851782,4576709,4215987,81759,0,1851291,303701,76326,308000,22300370,2606613,2680906,4,517,11,159,1934,5,103,1027,0,0,0,0,0,0,1,330,20650,11834,8816,19821,11248,8573,16884,2249,146,542,829,586,243,14545,5486,9059,4840,1444,8261,3397,703,8222,10217,16224,822,409,1248,586,2243,10602,582,5040,12397,6591,5806,4750,2964,1786,1971,1255,716,6721,4219,2502,18556,1842,5456,9,1,154,105,26,23,0,128,17814,16162,12446,2534,1182,0,42122,4721,80.3,35023,42122,15300,12408,2892,0,0,992,15178,1253,514,11.6,1758,18385,635,1482,1149,105,204,24,16268,533,0,16487,7740,4305,0,0,1255,450,358,20,28,93,25,281,48,118,3,0,3,3,20,0,14,478,0,2,190,0,3,255,2,0,0,3,46,1,40,5,5,1,0,4,0,9478
"08216","茨城県 笠間市",74892,36908,37984,752,75644,444,1020,1763,2006,1944,2087,30874,274,101,24040,24040,13993,0,10565,10565,0,181332557,22028279,95243593,34122,38136,79,2050,1226,5090,171523,160,6229,393,0.61,3.6,90.5,9055629,15031138,16927199,3720711,7.8,0.6,18655231,0,0,31538855,9552404,379023,6425,194256,0,53595,0,6861634,8252,184228,124418,4629970,2406934,60501,125055,728823,864339,693805,3012919,134138,12481897,30501951,254367,3362329,10789208,3038453,2334565,3990968,1422129,3093,2091663,816006,0,1272331,0,0,1740514,605250,2811833,971297,1515059,105293,1268216,4365824,671862,871481,0,0,681849,579261,1055219,15919,3196828,5115894,4871590,187381,6845252,2897660,3704792,15919,0,3196828,351809,335410,32241,30533648,4166648,4655146,5,725,10,234,3484,5,141,1793,1,6,3,23,122,49,2,793,36457,20154,16303,35191,19310,15881,29344,4661,330,856,1266,844,422,22821,8426,14395,7963,2880,11978,6542,2016,8808,22990,27472,1456,748,3116,1606,5470,17451,752,9269,19259,9289,9970,13963,8622,5341,797,659,138,14760,9281,5479,30847,462,10416,15,3,296,215,23,57,1,272,34894,33078,25359,6318,1331,70,75316,14387,39.4,23362,75316,25646,20684,4327,0,635,930,25574,1853,1919,16.8,2233,33982,1403,3222,2527,252,376,67,29357,1040,1,25682,12871,24040,0,0,962.1,372.2,276.9,28,27,124,82,52,55,206,5,1,4,1,41,3,35,1215,57,4,348,0,7,340,3,0,0,1,50,3,115,14,10,2,0,3,0,18418
"08217","茨城県 取手市",105328,52025,53303,1769,107097,555,1204,3287,3103,3577,6418,47412,370,171,6994,6994,6795,0,203,203,0,44747911,13348053,155412689,49773,53555,106,790,308,2230,296213,48,7815,490,0.6799999999999999,3.5,97.1,12131376,18057050,20660844,7552714,7.1,36.6,22942160,0,0,42775189,13570575,324526,10928,53879,0,46338,0,6539696,12843,220845,315097,6695029,2582094,141088,175971,1584500,859291,858465,6657357,226047,17817537,41885944,264014,5308323,15958060,3473070,3085694,7302213,2094723,2360,2006385,821494,0,1180069,89425,0,225392,602660,5990248,863182,4869297,121884,1812898,5375573,975313,1045398,0,0,72222,747194,1269293,14974,4237992,6919410,5040023,100542,9132766,4385437,7537740,14974,0,4237992,712821,240276,65607,49928392,6523507,5360487,7,506,15,328,5121,8,229,3242,0,0,0,0,0,0,7,4738,47208,26561,20647,45276,25261,20015,36977,6222,847,1230,1932,1300,632,34700,13180,21520,13357,3965,17378,7683,796,9728,33023,38064,1966,600,2740,894,4234,23728,1415,12921,16710,7560,9150,10315,5908,4407,16164,10562,5602,26479,16470,10009,32867,4633,14070,14,2,633,307,125,199,2,506,64335,62647,35596,20633,6195,223,107153,3696,25.5,20093,107153,33929,31611,1161,0,1157,865,32824,2886,2113,18.1,1257,31235,1447,4632,3445,292,841,54,25156,1053,0,37842,19641,6996,5187,1809,1809,1037,486,79,28,44,71,64,107,115,8,0,8,4,54,4,56,1097,51,4,351,0,9,514,3,0,0,11,304,1,15,23,21,7,0,2,0,25177
